layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder3,noise,edema_fraction,Edema fraction,5,0.04359337423702838,-0.01974089639417715,0.6179801798768801,0.5982392834827029
decoder3,noise,enhancing_fraction,Enhancing fraction,6,0.026916189920035586,0.013987761603816068,0.2463861655845238,0.26037392718833985
decoder3,noise,necrosis_fraction,Necrosis fraction,7,0.023752077590781316,0.005753134789645885,0.13563365453719345,0.14138678932683935
decoder3,noise,centroid_z,Centroid Z (normalized),8,0.009594056498112059,-0.005395991595824292,0.5049611454662892,0.4995651538704649
decoder3,noise,false_positive_voxels,False-positive voxels,9,-688.728,-688.728,1036.744,348.016
decoder3,zero,tumor_volume,Tumor volume (pred WT voxels),1,2393.4,-2388.925333333333,11640.925333333333,9252.0
decoder3,zero,false_negative_voxels,False-negative voxels,2,1691.4773333333333,1691.4773333333333,998.28,2689.7573333333335
decoder3,zero,boundary_complexity,Boundary complexity,3,0.550999262389695,-0.0012806314374279922,6.174654469857373,6.173373838419945
decoder3,zero,dice,Dice,4,0.05343816343859583,-0.05343816343859583,0.8887710221203972,0.8353328586818013
decoder3,zero,edema_fraction,Edema fraction,5,0.04434999920180274,-0.020124129002826258,0.6179801798768801,0.5978560508740539
decoder3,zero,enhancing_fraction,Enhancing fraction,6,0.027481842514089787,0.014281467424323284,0.2463861655845238,0.2606676330088471
decoder3,zero,necrosis_fraction,Necrosis fraction,7,0.024089678498196373,0.005842661577748579,0.13563365453719345,0.14147631611494205
decoder3,zero,centroid_z,Centroid Z (normalized),8,0.00976991920275046,-0.0055420076847883205,0.5049611454662892,0.4994191377815008
decoder3,zero,false_positive_voxels,False-positive voxels,9,-697.448,-697.448,1036.744,339.296
decoder4,mean,tumor_volume,Tumor volume (pred WT voxels),1,209.72533333333334,-207.33066666666667,11640.925333333333,11433.594666666666
decoder4,mean,false_negative_voxels,False-negative voxels,2,84.88266666666667,84.88266666666667,998.28,1083.1626666666666
decoder4,mean,boundary_complexity,Boundary complexity,3,0.07570243414852199,-0.060828967117400205,6.174654469857373,6.1138255027399735
decoder4,mean,edema_fraction,Edema fraction,4,0.005230660360747627,-0.0019034460241654707,0.6179801798768801,0.6160767338527147
decoder4,mean,enhancing_fraction,Enhancing fraction,5,0.003435770551901445,0.0021989148739368384,0.2463861655845238,0.24858508045846064
decoder4,mean,necrosis_fraction,Necrosis fraction,6,0.0026389590730994937,-0.0002954688498198218,0.13563365453719345,0.13533818568737366
decoder4,mean,centroid_z,Centroid Z (normalized),7,0.0015311413833135473,-0.0012553822044767727,0.5049611454662892,0.5037057632618124
decoder4,mean,dice,Dice,8,-0.002259814537661142,0.002259814537661142,0.8887710221203972,0.8910308366580583
decoder4,mean,false_positive_voxels,False-positive voxels,9,-122.448,-122.448,1036.744,914.296
