layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
decoder4,zero,false_negative_voxels,False-negative voxels,998.28,1066.3493333333333,68.06933333333333,68.06933333333333,68.13333333333334,104.71535389074259,375
decoder4,zero,boundary_complexity,Boundary complexity,6.174654469857373,6.129349695528488,-0.045304774328885355,0.06540270843918658,0.06540270843918658,0.1302733860836982,375
decoder4,zero,edema_fraction,Edema fraction,0.6179801798768801,0.6160552210819955,-0.001924958794884664,0.0046083751550044,0.0046083751550044,0.008387669580649735,375
decoder4,zero,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.24848875397353076,0.0021025883890069736,0.00312614723069479,0.00312614723069479,0.006278175077406016,375
decoder4,zero,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.13545602494303205,-0.0001776295941614199,0.00225697453392558,0.00225697453392558,0.004771221055119371,375
decoder4,zero,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5037850656380155,-0.0011760798282737014,0.00134643604680064,0.00134643604680064,0.003556561059979986,375
decoder4,zero,dice,Dice,0.8887710221203972,0.8903678742340844,0.0015968521136872616,-0.0015968521136872616,0.004912063182157403,0.01002364949337866,375
decoder4,zero,false_positive_voxels,False-positive voxels,1036.744,939.4506666666666,-97.29333333333334,-97.29333333333334,108.74933333333334,249.70050366985035,375
encoder1,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,3895.608,-7745.317333333333,7879.482666666667,7879.482666666667,4435.240876214768,375
encoder1,mean,false_negative_voxels,False-negative voxels,998.28,8286.098666666667,7287.818666666667,7287.818666666667,7287.818666666667,4668.892837779282,375
encoder1,mean,boundary_complexity,Boundary complexity,6.174654469857373,5.12435888566567,-1.0502955841917032,1.8873048552458782,1.8873048552458782,1.8683213985213443,375
encoder1,mean,edema_fraction,Edema fraction,0.6179801798768801,0.09995806437344357,-0.5180221155034366,0.5180221155034366,0.5180221155034366,0.21004336153265202,375
encoder1,mean,dice,Dice,0.8887710221203972,0.39027201705267117,-0.49849900506772593,0.49849900506772593,0.49992428208810674,0.20738423712948093,375
encoder1,mean,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.6325134220667898,0.4968797675295964,0.4968797675295964,0.4968797675295964,0.1178525214020715,375
encoder1,mean,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.2675285135431534,0.021142347958629563,0.1461439594251352,0.1461439594251352,0.12162068813474679,375
encoder1,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5146762207156343,0.009715075249345215,0.036275937548229234,0.036275937548229234,0.07387328214347848,375
encoder1,mean,false_positive_voxels,False-positive voxels,1036.744,579.2453333333333,-457.4986666666667,-457.4986666666667,1294.5066666666667,2533.295046135294,375
encoder1,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,3724.824,-7916.101333333333,8165.648,8165.648,4647.7368529612695,375
encoder1,noise,false_negative_voxels,False-negative voxels,998.28,8528.242666666667,7529.962666666666,7529.962666666666,7529.962666666666,4853.654278398643,375
encoder1,noise,boundary_complexity,Boundary complexity,6.174654469857373,5.372654268067433,-0.8020002017899406,2.028110861121292,2.028110861121292,2.558592109217956,375
encoder1,noise,edema_fraction,Edema fraction,0.6179801798768801,0.0633247112525733,-0.5546554686243069,0.554749734245884,0.554749734245884,0.20189514868544264,375
encoder1,noise,dice,Dice,0.8887710221203972,0.3757315803420341,-0.513039441778363,0.513039441778363,0.5142883047214706,0.20279074501471225,375
encoder1,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.576133313771011,0.4404996592338175,0.4404996592338175,0.4404996592338175,0.10294394876605822,375
