outer_fold,model_seed,method,failure_def,auprc,auroc,capture_at_20,n_test,n_pos
4,42,confidence,mean_fg_lt_0.80,0.9717192556764364,0.9736467236467237,0.4166666666666667,75,36
4,42,confidence,mean_fg_lt_0.70,0.8529605311259549,0.9314381270903009,0.6086956521739131,75,23
4,42,confidence,edema_lt_0.70,0.8588949997010505,0.9163879598662207,0.5652173913043478,75,23
4,42,confidence,lowest20_edema,0.8362723736286319,0.9171075837742504,0.5714285714285714,75,21
4,42,morphology,lowest20_mean_fg,0.8543157352144009,0.8703703703703703,0.5555555555555556,75,27
4,42,morphology,mean_fg_lt_0.80,0.9032592790196884,0.8767806267806268,0.4166666666666667,75,36
4,42,morphology,mean_fg_lt_0.70,0.8300550939185849,0.8979933110367894,0.5652173913043478,75,23
4,42,morphology,edema_lt_0.70,0.7987420603661339,0.8795986622073579,0.5217391304347826,75,23
4,42,morphology,lowest20_edema,0.8151794305070352,0.900352733686067,0.6190476190476191,75,21
4,42,consistency,lowest20_mean_fg,0.900790499423165,0.9166666666666666,0.5185185185185185,75,27
4,42,consistency,mean_fg_lt_0.80,0.9064553577629555,0.8767806267806267,0.4166666666666667,75,36
4,42,consistency,mean_fg_lt_0.70,0.8922930078917426,0.9347826086956521,0.6086956521739131,75,23
4,42,consistency,edema_lt_0.70,0.669292362571964,0.802675585284281,0.391304347826087,75,23
4,42,consistency,lowest20_edema,0.6583701626216503,0.7998236331569665,0.42857142857142855,75,21
4,42,conf_morph,lowest20_mean_fg,0.9464363976690227,0.9621913580246912,0.5555555555555556,75,27
4,42,conf_morph,mean_fg_lt_0.80,0.9762660234500484,0.9757834757834758,0.4166666666666667,75,36
4,42,conf_morph,mean_fg_lt_0.70,0.919840554156133,0.9657190635451505,0.6086956521739131,75,23
4,42,conf_morph,edema_lt_0.70,0.8992932791845835,0.943979933110368,0.6086956521739131,75,23
4,42,conf_morph,lowest20_edema,0.8574186865728748,0.9320987654320987,0.5714285714285714,75,21
4,42,conf_pooled,lowest20_mean_fg,0.9560932506499982,0.9699074074074073,0.5555555555555556,75,27
4,42,conf_pooled,mean_fg_lt_0.80,0.954283583269779,0.9501424501424501,0.4166666666666667,75,36
4,42,conf_pooled,mean_fg_lt_0.70,0.9411187395987758,0.9732441471571907,0.6086956521739131,75,23
4,42,conf_pooled,edema_lt_0.70,0.8357238275892279,0.858695652173913,0.6086956521739131,75,23
4,42,conf_pooled,lowest20_edema,0.7957743228705962,0.8236331569664902,0.6190476190476191,75,21
4,42,conf_consistency,lowest20_mean_fg,0.9443868167862053,0.9652777777777778,0.5555555555555556,75,27
4,42,conf_consistency,mean_fg_lt_0.80,0.9753491411845466,0.9736467236467237,0.4166666666666667,75,36
4,42,conf_consistency,mean_fg_lt_0.70,0.9387313978877445,0.9790969899665553,0.6086956521739131,75,23
4,42,conf_consistency,edema_lt_0.70,0.8347961197455875,0.9021739130434783,0.5217391304347826,75,23
4,42,conf_consistency,lowest20_edema,0.8544459048538398,0.9144620811287478,0.6190476190476191,75,21
4,42,conf_morph_consistency,lowest20_mean_fg,0.933901528827253,0.9498456790123457,0.5555555555555556,75,27
4,42,conf_morph_consistency,mean_fg_lt_0.80,0.9771108221721282,0.9743589743589743,0.4166666666666667,75,36
4,42,conf_morph_consistency,mean_fg_lt_0.70,0.9385920363381999,0.9749163879598661,0.6086956521739131,75,23
4,42,conf_morph_consistency,edema_lt_0.70,0.832615270663475,0.9046822742474916,0.5217391304347826,75,23
4,42,conf_morph_consistency,lowest20_edema,0.8285144715750843,0.9056437389770723,0.5238095238095238,75,21
