case_id,dice_bin,baseline_dice,direction_type,random_direction_id,sign,alpha,perturbation_rms_ratio,edema_fraction_before,edema_fraction_after,edema_fraction_delta,analytical_probe_pred_delta,dice_before,dice_after,dice_delta,changed_voxels,source
BraTS2021_01206,medium,0.92759636779123,probe,,-1,-1.0,0.23984080739319324,0.6693419924024817,0.6796331814908417,0.01029118908836,-8.114035886373353,0.9279023134708264,0.9280829015544256,0.0001805880835991,438,existing_editing_results
BraTS2021_01206,medium,0.92759636779123,probe,,1,1.0,0.23984080739319324,0.6693419924024817,0.6603903415484421,-0.0089516508540395,8.114035886373353,0.9279023134708264,0.9260815672521916,-0.0018207462186348,400,existing_editing_results
BraTS2021_01206,medium,0.92759636779123,random,random_00,-1,-1.0,0.23984080739319324,0.6693419924024817,0.6734793187343835,0.0041373263319017806,5.98526427959781,0.92759636779123,0.9277981569294302,0.0002017891382002368,161,downstream_from_cached_decoder1
BraTS2021_01206,medium,0.92759636779123,random,random_00,1,1.0,0.23984080739319324,0.6693419924024817,0.665370130270627,-0.003971862131854742,-5.98526427959781,0.92759636779123,0.9271208844028098,-0.00047548338842018367,165,downstream_from_cached_decoder1
BraTS2021_01206,medium,0.92759636779123,random,random_01,-1,-1.0,0.23984080739319324,0.6693419924024817,0.6663501107941333,-0.0029918816083484012,16.328442630602417,0.92759636779123,0.9241014413428439,-0.0034949264483861153,547,downstream_from_cached_decoder1
BraTS2021_01206,medium,0.92759636779123,random,random_01,1,1.0,0.23984080739319324,0.6693419924024817,0.6744503862146913,0.005108393812209622,-16.328442630602417,0.92759636779123,0.928982046519876,0.0013856787286460337,529,downstream_from_cached_decoder1
BraTS2021_01206,medium,0.92759636779123,random,random_02,-1,-1.0,0.23984080739319324,0.6693419924024817,0.6673468125884701,-0.0019951798140116495,-24.75061400600932,0.92759636779123,0.926887926887949,-0.0007084409032810379,161,downstream_from_cached_decoder1
BraTS2021_01206,medium,0.92759636779123,random,random_02,1,1.0,0.23984080739319324,0.6693419924024817,0.6714268351964806,0.002084842793998898,24.75061400600932,0.92759636779123,0.9278922109279735,0.00029584313674346774,152,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,probe,,-1,-1.0,0.24132049083709717,0.5960641399408221,0.6170033670025014,0.0209392270616792,-8.114035886373355,0.9369476420349522,0.9295856695551376,-0.0073619724798146,316,existing_editing_results
BraTS2021_01009,medium,0.9342677978606164,probe,,1,1.0,0.24132049083709717,0.5960641399408221,0.5760722347621128,-0.0199919051787093,8.114035886373355,0.9369476420349522,0.9412830188679688,0.0043353768330166,266,existing_editing_results
BraTS2021_01009,medium,0.9342677978606164,random,random_00,-1,-1.0,0.24132049083709717,0.5960641399408221,0.6049985636302715,0.008934423689449411,5.985264279597808,0.9342677978606164,0.9344733544630837,0.0002055566024672384,127,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,random,random_00,1,1.0,0.24132049083709717,0.5960641399408221,0.5864617203656718,-0.00960241957515029,-5.985264279597807,0.9342677978606164,0.9382993044649328,0.004031506604316393,126,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,random,random_01,-1,-1.0,0.24132049083709717,0.5960641399408221,0.5822707953846656,-0.01379334455615644,16.328442630602417,0.9342677978606164,0.9411051315091783,0.006837333648561872,284,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,random,random_01,1,1.0,0.24132049083709717,0.5960641399408221,0.6113039855567125,0.015239845615890424,-16.328442630602414,0.9342677978606164,0.927422859626302,-0.006844938234314424,351,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,random,random_02,-1,-1.0,0.24132049083709717,0.5960641399408221,0.590035481962463,-0.006028657978359053,-24.75061400600932,0.9342677978606164,0.9384396738724374,0.004171876011821007,102,downstream_from_cached_decoder1
BraTS2021_01009,medium,0.9342677978606164,random,random_02,1,1.0,0.24132049083709717,0.5960641399408221,0.6019807664696397,0.005916626528817637,24.75061400600932,0.9342677978606164,0.9342764515178793,8.653657262880365e-06,112,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,probe,,-1,-1.0,0.23924537748098373,0.7898378993262016,0.7974776092114809,0.0076397098852792,-8.114035886373353,0.905015232119354,0.9062807111588018,0.0012654790394479,410,existing_editing_results
BraTS2021_01098,medium,0.9031058716844692,probe,,1,1.0,0.23924537748098373,0.7898378993262016,0.7807707432159056,-0.009067156110296,8.114035886373355,0.905015232119354,0.9031273131014512,-0.0018879190179026,408,existing_editing_results
BraTS2021_01098,medium,0.9031058716844692,random,random_00,-1,-1.0,0.23924537748098373,0.7898378993262016,0.7935869870049606,0.0037490876787589222,5.9852642795978115,0.9031058716844692,0.9055598211463324,0.0024539494618631696,167,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,random,random_00,1,1.0,0.23924537748098373,0.7898378993262016,0.7859612060679988,-0.0038766932582028346,-5.985264279597811,0.9031058716844692,0.9046573336993756,0.0015514620149064129,151,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,random,random_01,-1,-1.0,0.23924537748098373,0.7898378993262016,0.7837137446418979,-0.0061241546843037176,16.328442630602417,0.9031058716844692,0.9010569446384965,-0.002048927045972704,526,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,random,random_01,1,1.0,0.23924537748098373,0.7898378993262016,0.7954956584652717,0.005657759139070073,-16.328442630602414,0.9031058716844692,0.9062222222222639,0.0031163505377946876,514,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,random,random_02,-1,-1.0,0.23924537748098373,0.7898378993262016,0.7876574065165936,-0.002180492809608081,-24.750614006009325,0.9031058716844692,0.9046551013869618,0.001549229702492605,155,downstream_from_cached_decoder1
BraTS2021_01098,medium,0.9031058716844692,random,random_02,1,1.0,0.23924537748098373,0.7898378993262016,0.7920089619111351,0.002171062584933492,24.75061400600932,0.9031058716844692,0.9057591623037075,0.0026532906192382466,168,downstream_from_cached_decoder1
BraTS2021_01051,medium,0.9153768135115248,probe,,-1,-1.0,0.23989533074200153,0.5775263563893224,0.6134989648028045,0.0359726084134821,-8.114035886373353,0.915852842809402,0.9085972057986648,-0.0072556370107371,694,existing_editing_results
BraTS2021_01051,medium,0.9153768135115248,probe,,1,1.0,0.23989533074200153,0.5775263563893224,0.5399840241408183,-0.0375423322485041,8.114035886373355,0.915852842809402,0.9208626560726808,0.0050098132632786,683,existing_editing_results
BraTS2021_01051,medium,0.9153768135115248,random,random_00,-1,-1.0,0.23989533074200153,0.5775263563893224,0.5889123994916725,0.01138604310235014,5.985264279597813,0.9153768135115248,0.9137465113188704,-0.0016303021926543648,239,downstream_from_cached_decoder1
BraTS2021_01051,medium,0.9153768135115248,random,random_00,1,1.0,0.23989533074200153,0.5775263563893224,0.5664438850789285,-0.01108247131039386,-5.985264279597808,0.9153768135115248,0.9178149827191895,0.002438169207664709,232,downstream_from_cached_decoder1
BraTS2021_01051,medium,0.9153768135115248,random,random_01,-1,-1.0,0.23989533074200153,0.5775263563893224,0.5662715517236294,-0.011254804665692952,16.32844263060241,0.9153768135115248,0.9218050607472724,0.006428247235747642,585,downstream_from_cached_decoder1
BraTS2021_01051,medium,0.9153768135115248,random,random_01,1,1.0,0.23989533074200153,0.5775263563893224,0.5895901639339429,0.012063807544620553,-16.328442630602414,0.9153768135115248,0.9053053401864687,-0.01007147332505609,584,downstream_from_cached_decoder1
