case_id,inference_mode,tta_augmentations,overlap,checkpoint_epoch,path_saved_prediction,mask_exact_match,mask_agree_fraction,mask_n_disagree_voxels,mask_usable_with_old_dice,conf_mean_maxprob_all,conf_mean_maxprob_fg,conf_mean_entropy_fg,conf_mean_entropy_boundary,conf_entropy_p95_boundary,conf_mean_margin_all,conf_mean_margin_fg,conf_frac_maxprob_lt_0.60,conf_frac_maxprob_lt_0.70,conf_frac_maxprob_lt_0.80,conf_frac_maxprob_lt_0.90,conf_frac_margin_lt_0.10,conf_frac_margin_lt_0.20,pred_tumor_voxels,pred_boundary_voxels
BraTS2021_00688,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00688_pred_tta.npy,True,1.0,0,True,0.9988069353429421,0.9038569573077391,0.21461767087182523,0.3843673512436324,0.7943767077204438,0.9977178883183058,0.8158838287684856,0.0005170249918149078,0.0009685692458801702,0.0015428898832260177,0.0030353050311033502,0.00020599148750409256,0.00047882789479428134,2767.0,2348.0
BraTS2021_00693,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00693_pred_tta.npy,True,1.0,0,True,0.9974629323332543,0.9397156529408411,0.15099080713332227,0.29896763285290257,0.6968964691900859,0.9950384820474487,0.8816682212769716,0.0015191614992881917,0.0029809961495466403,0.0048377490931210965,0.00735216838806455,0.0007213628502909337,0.0014761663625158844,13258.0,10032.0
BraTS2021_00698,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00698_pred_tta.npy,True,1.0,0,True,0.9981262280804801,0.9481505507049078,0.13753706557853823,0.2992804363898355,0.7370176089720251,0.9964583641460685,0.9027107925946085,0.001085542364612132,0.0020938363961619777,0.003358269637339405,0.005078061473410311,0.00044993765923998484,0.0009296904645741855,14304.0,7070.0
BraTS2021_00703,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00703_pred_tta.npy,True,1.0,0,True,0.997603284102466,0.9186723970847335,0.21032212093592292,0.34327866862640455,0.847632587490795,0.9955102517405114,0.8492413183806987,0.0015873804633494556,0.0028683274807305816,0.004321815852823605,0.006542768170675148,0.0006625588020936858,0.0013416815742397137,10394.0,8083.0
BraTS2021_00708,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00708_pred_tta.npy,True,1.0,0,True,0.998277736253693,0.9004887371369011,0.2126384260303174,0.38677612942577627,0.8048890007754222,0.9966893286263127,0.8086258343693954,0.0006889325019828519,0.001363391632075308,0.0024156057685071008,0.00472555592221431,0.0003560449485037428,0.0006382757003664658,2690.0,2566.0
BraTS2021_00729,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00729_pred_tta.npy,True,1.0,0,True,0.997354034235914,0.8210950137277766,0.3197574761641944,0.45842125970667924,0.6945200685535551,0.9947958242660292,0.6450277169045837,0.0025131472491909386,0.003930690399137001,0.005275755124056095,0.006873651564185544,0.0016754314994606256,0.0024861785329018337,2781.0,3464.0
BraTS2021_00731,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00731_pred_tta.npy,True,1.0,0,True,0.9984313179612887,0.9029092046975496,0.2076402259656881,0.35902582931610505,0.6940975287114872,0.9969357921494886,0.8075955365241108,0.0007517600602706986,0.0016350375392928584,0.0026011222819733457,0.004234536149429767,0.00038156288156288156,0.0007387706855791962,2813.0,2952.0
BraTS2021_00734,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00734_pred_tta.npy,True,1.0,0,True,0.9956544385123659,0.9184579583485348,0.22126921734933006,0.36726470851069015,0.7922638219695948,0.9917567541816305,0.849133909802621,0.002918858207319746,0.005602125794433486,0.008515505150120535,0.012713675213675214,0.0012395901818978742,0.002533968880122726,20533.0,11409.0
BraTS2021_00759,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00759_pred_tta.npy,True,1.0,0,True,0.9968982546247698,0.9184029868618451,0.21161163397157873,0.39802357696514507,0.8342294055298817,0.9941655781746662,0.8488409856207625,0.0021124708624708625,0.003862179487179487,0.00599504662004662,0.008808275058275057,0.000914918414918415,0.0017905011655011654,15431.0,7286.0
BraTS2021_00772,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00772_pred_tta.npy,True,1.0,0,True,0.998275725554223,0.8994736089059006,0.21633946289611117,0.35975938335204305,0.8768060891731011,0.996647594571856,0.8068268389022654,0.0005415499533146592,0.001518350930115636,0.002766645119586296,0.004960137901314372,0.00021690727573080515,0.0005013287366228543,1462.0,1581.0
BraTS2021_00778,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00778_pred_tta.npy,True,1.0,0,True,0.9986363838225386,0.9298822936376511,0.16163790876404913,0.3376689596210428,0.695426645081709,0.9973647233541227,0.8627168183027119,0.0006798448856153358,0.0013977976684064193,0.00215538266426028,0.0033291058972733036,0.00034449539046875764,0.0006386883566655285,5251.0,3289.0
BraTS2021_00780,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00780_pred_tta.npy,True,1.0,0,True,0.9982789189965898,0.9542247158777757,0.12294305274459978,0.2816020646365166,0.6963182742605458,0.9966929042238313,0.9121252172113041,0.000980392156862745,0.0019390300498897783,0.0030426963684882236,0.004777236338322311,0.0004684418145956607,0.0009006265227984685,14767.0,6622.0
BraTS2021_00782,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00782_pred_tta.npy,True,1.0,0,True,0.9987384807394084,0.9301880963503592,0.15900565700787264,0.37904486591090486,0.9009425210804066,0.9976071392212998,0.8683636276690058,0.0007650995037045493,0.0014133276800226133,0.0022681191326516747,0.0032832689182063783,0.0003574088267749493,0.0006754075547800373,5031.0,2891.0
BraTS2021_00789,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00789_pred_tta.npy,True,1.0,0,True,0.9981502583823072,0.9513328531360226,0.13574378002535747,0.27637243211319756,0.6998542332874421,0.996502531743531,0.9086159498175717,0.0011026101131202388,0.002080334431013744,0.0033653435345309224,0.005182760501909438,0.0004699649662479706,0.0009514325715299824,14506.0,6020.0
BraTS2021_00791,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00791_pred_tta.npy,True,1.0,0,True,0.9958500920081593,0.9307057135224444,0.19170081964394758,0.34718696838671587,0.7247311920149783,0.9920451347334318,0.8715954790646865,0.0024203829316399674,0.005000120267474864,0.008244335401933901,0.012622071486987059,0.0010613604656756627,0.0021708279212969642,17585.0,7254.0
BraTS2021_00792,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00792_pred_tta.npy,True,1.0,0,True,0.9933502797985815,0.88926358285039,0.30213550098281433,0.442562977612076,0.9168150844629547,0.9876040761244088,0.7966090215271534,0.004590953563633627,0.008367056289837957,0.012806039448622424,0.019035378710248883,0.001882985682940526,0.0037153145642646658,28104.0,13677.0
BraTS2021_00793,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00793_pred_tta.npy,True,1.0,0,True,0.9964781875797318,0.9272296114444378,0.20868016127951683,0.3663708984080587,0.7304718072785986,0.9933848197124415,0.8661247096828217,0.0020799562825424894,0.003975709794675312,0.006203028293545535,0.010003745456331663,0.0008626829747519402,0.001776021711366539,20165.0,7797.0
BraTS2021_00796,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00796_pred_tta.npy,True,1.0,0,True,0.99832302615531,0.9445270806341384,0.1486519091631823,0.3104672495808719,0.75744595794356,0.9968362270641327,0.8956679608538223,0.0008981568259918775,0.0017152091894359935,0.0027665633335736428,0.004493787998942638,0.00038900103333093023,0.0007870136736116117,10522.0,5102.0
BraTS2021_00802,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00802_pred_tta.npy,True,1.0,0,True,0.9977862730194282,0.8603584026400056,0.2946379603452486,0.45741118518752905,0.7978393329861462,0.995704503247327,0.7284689316926454,0.001388577897198587,0.002693188038015624,0.0041564039408867,0.0062789222271980895,0.0006344230482161516,0.0012890605563019356,3468.0,4070.0
BraTS2021_00823,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00823_pred_tta.npy,True,1.0,0,True,0.9979840131237625,0.9368087998879743,0.16063601653448942,0.2753961867193875,0.6971569889797935,0.9961450567857125,0.8806756028797729,0.0010799639920519041,0.002153066713506274,0.0035596271860008125,0.005812868450231087,0.0004789166877078965,0.0009660669001328342,11820.0,5362.0
BraTS2021_00834,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00834_pred_tta.npy,True,1.0,0,True,0.9980430910725144,0.9241847812982994,0.18533758162175093,0.34923064356179134,0.7981452814009843,0.9962858372410026,0.8559611367354097,0.0012801891886859208,0.0023214097288171364,0.003632633806925746,0.00542645041555717,0.0005136274199455027,0.0010862211297941145,8548.0,5663.0
BraTS2021_00838,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00838_pred_tta.npy,True,1.0,0,True,0.9965301442806118,0.8886347948583918,0.2683429737511801,0.41080335713049326,0.9563914964547382,0.9935274562405653,0.7935703339215999,0.00278447742733457,0.004778911564625851,0.007068645640074212,0.009854669140383425,0.0012090290661719233,0.0022758194186765614,12103.0,7566.0
BraTS2021_00839,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00839_pred_tta.npy,True,1.0,0,True,0.9974538610628652,0.8775913909026534,0.2610854962958642,0.39155257522203796,0.7104523913167948,0.9950616828952906,0.7594499336971744,0.0010021888680425265,0.0021919949968730455,0.004040025015634772,0.0076031894934333955,0.000450281425891182,0.0009505941213258286,3207.0,3499.0
BraTS2021_01000,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_01000_pred_tta.npy,True,1.0,0,True,0.9987173875404397,0.958554587240311,0.10539492653089755,0.247703380102249,0.696669052804998,0.9975551483536779,0.9201013411928304,0.0007409704990350152,0.001416706053802828,0.0021736775769033833,0.0033749852298239394,0.00035571507345700897,0.0006905057308283115,12567.0,7221.0
