layer,target,target_label,r2,mae,spearman,n_cases,cv_folds
decoder2,boundary_error_fraction,Boundary error fraction,0.34892044534159894,0.13330251203545523,0.5314614947466388,375,5
decoder2,dice,Dice,0.4181450298993734,0.0590378387926037,0.6002043463420185,375,5
decoder1,centroid_x,Centroid X,0.25767755920502866,0.07633891435068307,0.5092340425531915,375,5
decoder1,centroid_y,Centroid Y,0.25768087263274897,0.0847732246417003,0.5085632040050063,375,5
decoder1,centroid_z,Centroid Z,0.10268531815581294,0.13838963849642058,0.40878097622027537,375,5
decoder1,gt_wt_voxels,Whole-tumor volume,0.8048284534078287,2325.4545208333334,0.9139766558144863,375,5
decoder1,log_wt_volume,log(WT volume),0.74497237803428,0.3093124496341855,0.8879157783401704,375,5
decoder1,gt_edema_voxels,Edema volume,0.7737137740227127,1813.8654993489583,0.8829358391484872,375,5
decoder1,gt_enhancing_voxels,Enhancing volume,0.7437209714894633,805.6062981770833,0.8650436602517282,375,5
decoder1,gt_necrosis_voxels,Necrosis volume,0.5016976733267474,975.383741373698,0.7277071594181821,375,5
decoder1,gt_edema_frac,Edema fraction,0.5959336241925954,0.0985045589188574,0.7974169985208783,375,5
decoder1,gt_enhancing_frac,Enhancing fraction,0.6473855945097491,0.06786009526376442,0.8292284196869607,375,5
decoder1,gt_necrosis_frac,Necrosis fraction,0.524563835377519,0.06590331717635511,0.6920546245050052,375,5
decoder1,gt_compactness,Boundary complexity,0.2742986703468723,0.8334611894632199,0.5337606098532256,375,5
decoder1,boundary_to_volume_ratio,Boundary-to-volume ratio,0.577212031910177,0.043921511334667075,0.7666828990783935,375,5
decoder1,gt_elongation,Elongation,0.0016844019985033931,1.4001334265746233,0.24225076800546141,375,5
decoder1,gt_n_components,Multifocality (# components),0.0316584040801936,3.2739178975423178,0.1551728889017071,375,5
decoder1,false_positive_voxels,False-positive voxels,0.2314900058316941,738.0983487955729,0.4664255085842965,375,5
decoder1,false_negative_voxels,False-negative voxels,0.272674802754892,654.6765739746094,0.5830488291377837,375,5
decoder1,boundary_error_fraction,Boundary error fraction,0.415330144239614,0.1295225261505069,0.5847904239767401,375,5
decoder1,dice,Dice,0.5647979596859799,0.05451649957688906,0.6859984070997838,375,5
