layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder3,zero,boundary_complexity,Boundary complexity,3,0.5761297122582038,-0.03955070059340697,6.212924539013352,6.173373838419945
decoder3,zero,dice,Dice,4,0.04783531772659145,-0.04783531772659145,0.8831681764083926,0.8353328586818013
decoder3,zero,edema_fraction,Edema fraction,5,0.04566250617596386,-0.02603445064783836,0.6238905015218923,0.5978560508740539
decoder3,zero,enhancing_fraction,Enhancing fraction,6,0.028560241286511516,0.01568096128127193,0.24498667172757516,0.2606676330088471
decoder3,zero,necrosis_fraction,Necrosis fraction,7,0.02456352990788962,0.010353489365768607,0.13112282674917344,0.14147631611494205
decoder3,zero,centroid_z,Centroid Z (normalized),8,0.01025400802891244,-0.004935996943329026,0.5043551347248298,0.4994191377815008
decoder3,zero,false_positive_voxels,False-positive voxels,9,-755.416,-755.416,1094.712,339.296
decoder4,mean,tumor_volume,Tumor volume (pred WT voxels),1,348.072,-267.512,11701.106666666667,11433.594666666666
decoder4,mean,false_negative_voxels,False-negative voxels,2,87.096,87.096,996.0666666666667,1083.1626666666666
decoder4,mean,boundary_complexity,Boundary complexity,3,0.1926936513770587,-0.0990990362733792,6.212924539013352,6.1138255027399735
decoder4,mean,edema_fraction,Edema fraction,4,0.013942469339743857,-0.007813767669177574,0.6238905015218923,0.6160767338527147
decoder4,mean,necrosis_fraction,Necrosis fraction,5,0.008013612258018917,0.0042153589382002065,0.13112282674917344,0.13533818568737366
decoder4,mean,enhancing_fraction,Enhancing fraction,6,0.007977868598612124,0.0035984087308854836,0.24498667172757516,0.24858508045846064
decoder4,mean,centroid_z,Centroid Z (normalized),7,0.004127048861321755,-0.0006493714630174778,0.5043551347248298,0.5037057632618124
decoder4,mean,dice,Dice,8,-0.007862660249665527,0.007862660249665527,0.8831681764083926,0.8910308366580583
decoder4,mean,false_positive_voxels,False-positive voxels,9,-180.416,-180.416,1094.712,914.296
decoder4,noise,tumor_volume,Tumor volume (pred WT voxels),1,331.1413333333333,-225.41866666666667,11701.106666666667,11475.688
decoder4,noise,false_negative_voxels,False-negative voxels,2,70.35466666666666,70.35466666666666,996.0666666666667,1066.4213333333332
decoder4,noise,boundary_complexity,Boundary complexity,3,0.18768348804790802,-0.08404931884973324,6.212924539013352,6.128875220163619
decoder4,noise,edema_fraction,Edema fraction,4,0.013805652400732286,-0.00785222265180553,0.6238905015218923,0.6160382788700868
decoder4,noise,necrosis_fraction,Necrosis fraction,5,0.008030208573247403,0.004335988562446562,0.13112282674917344,0.13545881531162
decoder4,noise,enhancing_fraction,Enhancing fraction,6,0.007760449527634031,0.00351623408927644,0.24498667172757516,0.24850290581685158
decoder4,noise,centroid_z,Centroid Z (normalized),7,0.004005789068858577,-0.0005752092711649357,0.5043551347248298,0.5037799254536649
decoder4,noise,dice,Dice,8,-0.007195166931533688,0.007195166931533688,0.8831681764083926,0.8903633433399264
decoder4,noise,false_positive_voxels,False-positive voxels,9,-155.064,-155.064,1094.712,939.648
decoder4,zero,tumor_volume,Tumor volume (pred WT voxels),1,331.6453333333333,-225.544,11701.106666666667,11475.562666666667
decoder4,zero,false_negative_voxels,False-negative voxels,2,70.28266666666667,70.28266666666667,996.0666666666667,1066.3493333333333
decoder4,zero,boundary_complexity,Boundary complexity,3,0.18816526562333785,-0.08357484348486434,6.212924539013352,6.129349695528488
decoder4,zero,edema_fraction,Edema fraction,4,0.01378471396117632,-0.007835280439896768,0.6238905015218923,0.6160552210819955
decoder4,zero,necrosis_fraction,Necrosis fraction,5,0.008025085526158618,0.004333198193858608,0.13112282674917344,0.13545602494303205
decoder4,zero,enhancing_fraction,Enhancing fraction,6,0.007757038666692082,0.0035020822459556193,0.24498667172757516,0.24848875397353076
decoder4,zero,centroid_z,Centroid Z (normalized),7,0.003999623264287152,-0.0005700690868144067,0.5043551347248298,0.5037850656380155
decoder4,zero,dice,Dice,8,-0.007199697825691645,0.007199697825691645,0.8831681764083926,0.8903678742340844
